127.0.0.1 - - [24/May/2024:21:01:53 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [24/May/2024:21:01:54 +0530] "GET /manage-customer/ HTTP/1.1" 200 6864
0:0:0:0:0:0:0:1 - - [24/May/2024:21:01:55 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [24/May/2024:21:02:28 +0530] "GET /manage-customer/HomeScreen.jsp HTTP/1.1" 200 5999
0:0:0:0:0:0:0:1 - - [24/May/2024:21:02:28 +0530] "GET /manage-customer/Image/2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2024:21:02:28 +0530] "GET /manage-customer/Image/home22.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2024:21:02:28 +0530] "GET /manage-customer/Image/home3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2024:21:02:28 +0530] "GET /manage-customer/Image/home44.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2024:21:02:28 +0530] "GET /manage-customer/Image/home5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2024:21:02:32 +0530] "GET /manage-customer/login.jsp HTTP/1.1" 200 2060
0:0:0:0:0:0:0:1 - - [24/May/2024:21:02:32 +0530] "GET /manage-customer/Image/images.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2024:21:02:45 +0530] "POST /manage-customer/ViewVehicelService.jsp HTTP/1.1" 200 5002
0:0:0:0:0:0:0:1 - - [24/May/2024:21:02:45 +0530] "GET /manage-customer/img/blurred-car-repair-shop.jpg HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [24/May/2024:21:02:47 +0530] "GET /manage-customer/index.jsp HTTP/1.1" 200 6864
0:0:0:0:0:0:0:1 - - [24/May/2024:21:02:53 +0530] "POST /manage-customer/AddCustomerServlet HTTP/1.1" 200 3482
0:0:0:0:0:0:0:1 - - [24/May/2024:21:03:24 +0530] "GET /manage-customer/branches.jsp HTTP/1.1" 200 8121
0:0:0:0:0:0:0:1 - - [24/May/2024:21:03:24 +0530] "GET /manage-customer/Image/1.jpg HTTP/1.1" 200 1153478
0:0:0:0:0:0:0:1 - - [24/May/2024:21:03:24 +0530] "GET /manage-customer/Image/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2024:21:03:24 +0530] "GET /manage-customer/Image/5.jpg HTTP/1.1" 200 1045737
0:0:0:0:0:0:0:1 - - [24/May/2024:21:03:24 +0530] "GET /manage-customer/Image/6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2024:21:03:24 +0530] "GET /manage-customer/Image/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2024:21:03:24 +0530] "GET /manage-customer/Image/4.jpg HTTP/1.1" 304 -
